Aspire Indoor Soccer Partnership P&L Model,,,,
Drafted 2026-04-27. Three scenarios: Conservative / Base / Aggressive.,,,,
Open in Excel or Google Sheets. To make formulas live: replace static numbers in the Calculation rows with cell references to the Inputs above.,,,,
,,,,
SECTION,LINE ITEM,UNIT,CONSERVATIVE,BASE,AGGRESSIVE
,,,,,
=== INPUTS — FACILITY ===,,,,,
,Facility blended rate (negotiated),$/hr,150,130,110
,Facility off-peak rate (M-F 9am-3pm),$/hr,90,80,70
,Facility prime-time rate,$/hr,170,150,130
,Year 1 minimum revenue commitment to facility,$,40000,40000,40000
,,,,,
=== INPUTS — ADULT STANDARD LEAGUE (per team) ===,,,,,
,Team registration price,$,1095,1095,1095
,Roster size,players,10,10,10
,Season length,games,8,8,8
,Field cost per game (= rate / 2 teams),$,75,65,55
,Refs per game,refs,1,1,1
,Ref pay per game,$,35,35,35
,Insurance per player,$,5,5,5
,Equipment amortized per team,$,25,25,25
,Admin/marketing per team,$,75,50,40
,,,,,
=== ADULT STANDARD LEAGUE — PER TEAM ECONOMICS ===,,,,,
,Field cost per team (8 games),$,600,520,440
,Ref cost per team (8 games / 2 teams),$,140,140,140
,Insurance per team,$,50,50,50
,Equipment per team,$,25,25,25
,Admin per team,$,75,50,40
,Total cost per team,$,890,785,695
,Gross profit per team,$,205,310,400
,Gross margin %,%,19%,28%,37%
,,,,,
=== INPUTS — ADULT EXPRESS LEAGUE (per team) ===,,,,,
,Team registration price,$,895,895,895
,Roster size,players,10,10,10
,Season length,games,8,8,8
,Field cost per game (= rate / 4 teams sharing field-hour),$,38,33,28
,Refs per game,refs,1,1,1
,Ref pay per game (shorter game = lower),$,25,25,25
,Insurance per player,$,5,5,5
,Equipment per team,$,25,25,25
,Admin/marketing per team,$,75,50,40
,,,,,
=== ADULT EXPRESS — PER TEAM ECONOMICS ===,,,,,
,Field cost per team (8 games),$,300,260,220
,Ref cost per team,$,100,100,100
,Insurance per team,$,50,50,50
,Equipment per team,$,25,25,25
,Admin per team,$,75,50,40
,Total cost per team,$,550,485,435
,Gross profit per team,$,345,410,460
,Gross margin %,%,39%,46%,51%
,,,,,
=== INPUTS — YOUTH PER-PLAYER (no kit) ===,,,,,
,Per-player price,$,149,149,149
,Players per team,players,9,9,9
,Season length,games,8,8,8
,Field cost per game (= rate / 2 teams),$,75,65,55
,Ref pay per game,$,25,25,25
,Insurance per player,$,10,10,10
,Equipment per team,$,30,30,30
,Admin per team,$,75,50,40
,,,,,
=== YOUTH PER-PLAYER — PER PLAYER ECONOMICS ===,,,,,
,Revenue per team (9 players),$,1341,1341,1341
,Field cost per team,$,600,520,440
,Ref cost per team,$,100,100,100
,Insurance per team,$,90,90,90
,Equipment per team,$,30,30,30
,Admin per team,$,75,50,40
,Total cost per team,$,895,790,700
,Gross profit per team,$,446,551,641
,Gross profit per player,$,49,61,71
,Gross margin %,%,33%,41%,48%
,,,,,
=== INPUTS — YOUTH TEAM REGISTRATION ===,,,,,
,Team price,$,1195,1195,1195
,Players per team,players,9,9,9
,(All other costs same as per-player above),,,,,
,,,,,
=== YOUTH TEAM REGISTRATION — PER TEAM ECONOMICS ===,,,,,
,Revenue per team,$,1195,1195,1195
,Total cost per team (same as above),$,895,790,700
,Gross profit per team,$,300,405,495
,Gross margin %,%,25%,34%,41%
,,,,,
=== INPUTS — YOUTH KIT ADD-ON ===,,,,,
,Kit (slim) sale price,$,130,130,130
,Kit (slim) cost (Momentec/Code Four estimate),$,90,80,70
,Kit margin per unit,$,40,50,60
,Kit add-on take rate,%,40%,50%,60%
,,,,,
=== INPUTS — DROP-IN PICKUP (Downtown) ===,,,,,
,Monthly membership price,$,40,40,40
,Drop-in single session,$,15,15,15
,Active members,members,40,60,90
,Drop-in sessions per month,sessions,80,100,150
,Field hours per month for pickup,hours,60,80,120
,Cost per pickup field-hour (off-peak),$,90,80,70
,,,,,
=== DROP-IN PICKUP — MONTHLY ECONOMICS ===,,,,,
